country_name,target,target_description,tables
Brazil,Net zero target,"Brazil’s aims to achieve climate neutrality by 2050, a target reiterated in its 2023 NDC submission. However, no further details have been communicated so far, which limits our ability to assess the comprehensiveness of the target. As of August 2024, Brazil has not submitted a long-term strategy to the UNFCCC. Aiming for climate neutrality by 2050 is a step in the right direction: transitioning to a low-emissions development pathway in compliance with international climate change commitments. However, Brazil should clearly state its plans for reducing emissions across all sectors of the economy, including LULUCF. The full net zero target analysis can be found here .",
Bhutan,CAT rating of targets,"High resolution We rate where Bhutan’s emissions will be in 2030 if its sectoral measures are fully implemented - against where its emissions would need to be based on a 1.5°C global least cost modelled pathway. On that basis, we find it to be 1.5°C global least compatible. We estimate Bhutan emissions will be between at 1.8-1.9 MtCO 2 e in 2030 if it implements all sectoral mitigation measures presented in its various low emissions development strategies (LEDS) for the transport, agriculture, human settlements, and industry sectors. Our rating is based on the upper value of the range. The ""1.5°C global least cost"" rating indicates that Bhutan’s emissions in 2030 are consistent with modelled domestic pathways limiting warming to 1.5°C. Bhutan’s target does not require other countries to make comparably deeper reductions or greater effort. It is important to highlight that Bhutan’s NDC and LEDS provide an estimate of implementation costs for the suggested actions and that Bhutan will need international support to achieve these reductions. If we followed the standard CAT rating method, Bhutan’s NDC target of “carbon neutrality” – which we take as equivalent to its net LULUCF sink of 7.8 MtCO 2 e (CAT rates targets excluding the forestry sector) – would be rated as “Critically insufficient” when compared to the level of emission reductions needed within Bhutan’s borders in order to limit warming to 1.5°C. This rating would imply that Bhutan’s NDC target in 2030 reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C. However, Bhutan is already carbon neutral and making efforts to remain carbon neutral through the implementation of policies and measures. Applying our standard methodology would be misleading and unfair. A 1.5°C modelled domestic pathway based on global least cost shows what would be feasible for Bhutan to achieve with international support. A more realistic and fair method would be to apply a rating based on the anticipated level of where emissions would be if Bhutan receives support for all of the measures it has planned, and this is what we have done. We rate where Bhutan’s emissions will be in 2030 under a business-as-usual trajectory against Bhutan’s fair share contribution level. Under this approach, we rate Bhutan as “Almost sufficient”. We estimate Bhutan’s emissions under this approach to be between 3.02-3.13 MtCO 2 e in 2030. Our rating is based on the upper range of the estimate. The “Almost sufficient” rating indicates that Bhutan’s emissions in 2030 are not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow Bhutan’s approach, warming could be held below—but not well below—2°C. Again, following the standard CAT rating method – where we would rate Bhutan’s NDC target to “remain carbon neutral”, estimated as 7.8 MtCO 2 e in 2030, against its fair contribution – we would rate Bhutan as “Critically insufficient”. This would indicate that Bhutan’s target in 2030 reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C based on its fair share contribution. However, Bhutan is already carbon neutral and is making efforts to remain carbon neutral through the implementation of policies measures. Applying our standard methodology would be misleading and unfair. For a country like Bhutan, its fair share contribution represents what would be fair to do using its own resources. As Bhutan has indicated it will need support to implement the measures outlined in its NDC, using a business as usual projection is a good measure of where Bhutan’s emissions will be in 2030 with its own resources and thus a more realistic and fair basis upon which to apply the CAT rating. The upper end of range falls within the ""Almost sufficient"" category. Bhutan could become 1.5°C compatible in the future if it slows its emissions growth. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
Bhutan,Net zero and other long-term target(s),"Bhutan has set an indicative goal of reaching net zero by 2050 (Royal Government of Bhutan 2021). Bhutan first committed to remain carbon neutral during COP15 in 2009. In its second NDC, Bhutan adopted a net zero emissions by 2050 target, which it has already met given it is currently a net negative emitter. However, the NDC does not sufficiently detail how this target will be monitored and not exceeded in the future. The CAT currently does not evaluate Bhutan’s net zero target due to a lack of information. We will update our assessment once more information becomes available. For the full analysis click here .",
Bhutan,2020 target,"Bhutan adopted a carbon neutral target in 2009 and has respected that target throughout the intervening years. Its ability to achieve this target is due to its large land sector sink, as its fossil emissions have increased during this period.",
New Zealand,CAT rating of targets,"New Zealand’s NDC target in 2030 is not consistent with limiting warming to 1.5°C when compared to modelled domestic pathways. The target aims for GHG emissions to be 50% below 2005 levels by 2030 (including LULUCF). The new target equates to around 51 MtCO 2 e/yr by 2030 excluding LULUCF. This is equivalent to 21% below 1990 levels by 2030. New Zealand needs to bring down its emissions level to 47 MtCO 2 e/yr for a 1.5°C modelled domestic pathway. We rate this target as “Almost sufficient”, moving up from previous rating of “Insufficient”. The CAT calculates a 1.5°C domestic emissions pathway for New Zealand is 44% below 2005 emissions in 2030 (excluding LULUCF). This rating indicates that New Zealand’s emissions in 2030 are not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow a similar approach, warming could be held below—but not well below—2°C. We rate New Zealand’s NDC target as “Insufficient” when compared with its fair share emissions allocation. The “Insufficient” rating indicates that New Zealand’s emissions in 2030 needs substantial improvements to be consistent with limiting warming to 1.5°C. New Zealand’s target is at the least stringent end of what would be a fair share of global effort and is not consistent with limiting warming to 1.5°C unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow similar approach, warming would reach over 2°C and up to 3°C. With the 2021 update in its NDC New Zealand’s fair share rating has improved from “Critically Insufficient” to “Insufficient”. A fair share target would require New Zealand to nearly halve this target to 32 MtCO 2 e/yr by 2030 New Zealand’s NDC target would need to be 37% lower to be a 1.5°C compatible in terms of New Zealand’s fair share. The current target is equivalent to 51 MtCO 2 e in 2030 where as a 1.5°C compatible fair share target would be around 32 MtCO 2 e. Substantial improvement is needed. Some of these improvements should be made to the domestic emissions target itself, others could come in the form of additional support for emissions reductions achieved in developing countries in the form of finance. Taking both New Zealand’s emissions reduction target and climate finance into account, we rate the overall fair share contribution as “Insufficient”. New Zealand’s international public climate finance contributions are rated “Highly insufficient.” The country remains committed to climate finance in the period post-2020 but contributions to date have been very low compared to its fair share. To improve its rating New Zealand needs to improve climate finance commitments and make explicit commitments to prevent investments in fossil fuel finance abroad. Reported contributions fall short of New Zealand’s fair share contribution to the USD 100bn goal and show no clear trend of increasing. A big disbursement in 2014 distorts the trend. Annual contributions with climate as the main component have been less than a third of 2014 values – but have increased in recent years. New Zealand expects to meet its commitment to deliver a total of NZD 1.3bn in climate finance between 2022 and 2025, but this target is still insufficient. The 2022 budget allocated NZD 840m for international climate finance in addition to pre-commitments (New Zealand Ministry of Foreign Affairs and Trade 2022a). During COP27, New Zealand announced that it would contribute NZD 15m of this climate finance to the Adaptation Fund and a NZD 20m contribution to Loss and Damage (New Zealand Government 2022g; 2022e). New Zealand does not finance fossil projects overseas. New Zealand signed the COP26 statement to end public support to fossil fuels abroad (CNN 2021). In April 2021, New Zealand passed legislation which mandates climate risk reporting for banks, asset managers, and insurers, making it the first country in the world to implement such mandatory climate risk reporting . Financial institutions are required to annually report on governance, risk management as well as strategies for climate change mitigation. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
New Zealand,Net zero and other long-term target(s),"We evaluate New Zealand' net zero target as: Poor. New Zealand passed its Climate Change Response (Zero Carbon) Amendment Act in 2019, which sets a target for all greenhouse gases except for biogenic methane – methane from agriculture and waste – to reach net zero by 2050 (Government of New Zealand 2019a). There is a separate target for biogenic methane emissions to be 24-47% below 2017 levels by 2050. The minister of climate change has recommended moving to an all gas net zero target, but the government has not yet acted on this recommendation. In November 2021, New Zealand submitted its Long Term Low Emissions Development Strategy (LTS) to UNFCCC (Ministry for the Environment 2021e). In the LTS, the government has presented a framework for net zero target including five year review cycles with corresponding emissions budgets. The LTS has identified action areas for key sectors without going into details of the emissions reduction potential of those strategies. New Zealand’s net zero target performs poorly in terms of its scope, target architecture and transparency. While the target architecture of New Zealand’s net zero target is relatively strong, it does not follow good practice on a number of elements. In addition to biogenic methane, international aviation and shipping also remain outside the target’s scope, and the government’s reserving of the right to use international offset credits to meet its net zero target in the case of a significant change of circumstance (New Zealand Government 2020a). The full net zero target analysis can be found here .",
New Zealand,2020 pledge,"In brief, New Zealand has an unconditional target of reducing emissions 5% below 1990 by 2020, and a conditional target of 10 to 20% below 1990 emissions levels by 2020. The CAT calculates the unconditional target is calculated to be 62 MtCO 2 e in 2020 excluding LULUCF and the conditional target to be 52-59 MtCO 2 e excluding LULUCF. With emissions at 79 MtCO 2 e (excl. LULUCF) in 2020, New Zealand did not meet its 2020 pledge (Ministry for the Environment 2022g). For more details on New Zealand's 2020 target, please see the 2020 pledge section here .",
Nepal,CAT rating of targets,"The CAT rates NDC targets against what a fair contribution to achieving the Paris Agreement’s long-term temperature goal would be as well as against what needs to happen within a country’s own borders. Nepal will need support to achieve those needed reductions with its borders. Nepal has put forward two targets in its NDC. One that it will achieving using its own resources and one that requires international support. We rate the country’s unconditional target against its fair share contribution and its conditional target against the level of reductions needed within its border defined by a modelled domestic pathway. In the case of Nepal, the CAT could not quantify the unconditional target because an absolute emissions reduction target was not provided, so we use Nepal’s current policy projections as its unconditional target. Nepal’s current “Critically insufficient” rating indicates that its conditional 2030 target reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C, when compared to modelled domestic pathways. If all countries were to follow Nepal’s approach, warming would exceed 4°C. We haven’t included all sectoral measures in our assessment of Nepal’s conditional target because the NDC provided limited details on some of the sectoral target, so it was not possible to estimate the impact of all of them. Nepal is encouraged to provide further information on the quantification of its NDC and to exceed this target with international support. Given the NDC has no unconditional emissions reduction target, the CAT therefore had to use Nepal’s current policy projections as its unconditional target. Our current policy projection and the conditional target both fall within the 1.5°C range. The “1.5°C compatible” rating indicates that Nepal’s fair share target is consistent with limiting warming to 1.5°C. Nepal’s fair share target does not require other countries to make comparably deeper reductions or greater effort, and is in the most stringent part of its fair share range. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
Nepal,Net zero and other long-term target(s),"We evaluate the net zero target as: Average. Nepal announced its commitment to achieving carbon neutrality before, or by, 2045, in October 2021. The long-term strategy sets out targets that cover all sectors of the economy – energy, industry process, agriculture, forestry and land use, and waste. However, the LTS only covers CO 2 emissions despite non-CO 2 emissions accounting for 70% of Nepal total emission (excl. LULUCF) in 2021 (Gütschow, Günther and Pflüger, 2022) . The LTS gives two emission reduction scenarios. The first scenario, With Existing Measures (WEM), takes into account the plans and policies implemented and adopted up to 2020, as well as potential adoption in 2030 and 2050. The WEM scenario does not target carbon neutrality, while the With Additional Measures (WAM) scenario does. The WAM scenario includes more ambitious targets; conditional on international support and aims to achieve carbon neutrality by 2045 (Government of Nepal, 2021). In the WEM scenario, net CO 2 emissions will be reduced by 30 MtCO 2 e in 2030 and 50 MtCO 2 e in 2050 [GWP AR5]. In WAM scenario, Nepal’s net CO 2 emissions are projected to be negative from 2020 to 2030 due to a LULUCF carbon sink, then remain around ‘zero’ throughout 2035 to 2045 (Government of Nepal, 2021). The LTS outlines investment in clean energy as the main strategy for emission reductions. It also emphasises the significant role of the LULUCF sector in supporting ‘net negative carbon emissions by 2050’. Both scenarios cover energy efficiency improvement, fuel switching and a strong target for electrification across most sectors (Government of Nepal, 2021). For the full analysis click here",
Morocco,CAT rating of targets,"High resolution The CAT rates NDC targets against what a fair contribution to achieving the Paris Agreement’s long-term temperature goal would be as well as against what needs to happen within a country’s own borders. Morocco will need support to achieve those needed reductions within its borders. Morocco has put forward two targets in its NDC. One that it will achieving using its own resources and one that requires international support. We rate the country’s unconditional target against its fair share contribution and its conditional target against the level of reductions needed within its border defined by a modelled domestic pathway. We rate Morocco’s conditional NDC “Almost sufficient” when compared with modelled domestic emissions pathways. The “Almost sufficient” rating indicates that Morocco’s internationally supported target in 2030 is not yet consistent with the 1.5°C temperature limit but could be, with moderate improvements. If all countries were to follow Morocco’s approach, warming could be held below—but not well below—2°C. We rate the unconditional NDC reduction target as “Almost sufficient” when compared with its fair share contribution to climate action. The “Almost sufficient” rating indicates that Morocco’s unconditional target against fair share in 2030 is not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. Morocco’s target is within the range of what is considered to be a fair global effort, but would require other countries to make deeper reductions and comparably greater effort to limit warming to 1.5°C. If all countries were to follow Morocco’s approach, warming could be held below—but not well below—2°C. We have revised our previous assessment to exclude the LULUCF mitigation measures planned in the agricultural sector. This resulted in a change in the rating of the unconditional target against fair share but did not have an impact on the overall rating of Morocco. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
Morocco,Net zero and other long-term target(s),"In its LTS, the Moroccan government stated its intention to provide sectoral analysis to evaluate Morocco’s capacity to achieve carbon neutrality during the century. Therefore, we assume that Morocco intends to commit to a net zero target (Kingdom of Morocco, 2021c). As of March 2023, a concrete plan and timeline have yet to be released. Given its preliminary nature, and the lack of more detailed information, the CAT currently does not evaluate Morocco’s net zero target. We will do so once further information is communicated.",
Mexico,CAT rating of targets,"High resolution The CAT rates Mexico’s conditional NDC target against modelled domestic pathways as “Highly insufficient” and its unconditional NDC target against fair share as “Critically insufficient”. We rate Mexico’s conditional 2030 reduction target levels as “Highly insufficient” when compared to modelled emissions pathways. The “Highly insufficient” rating indicates that Mexico’s conditional NDC target in 2030 is not at all consistent with the 1.5°C temperature limit. Mexico’s target is not in line with any interpretation of a fair approach to meeting the 1.5°C temperature limit. If all countries were to follow Mexico’s approach, warming could reach over 3°C and up to 4°C. Our rating system suggests that Mexico should receive limited international support to get on a 1.5°C compatible pathway. We rate Mexico’s 2030 unconditional NDC target as “Critically insufficient” when compared with its fair-share contribution to climate action. The “Critically insufficient” rating indicates that Mexico’s unconditional NDC target in 2030 reflects minimal to no action and is not at all consistent with the 1.5°C temperature limit. Mexico’s target is not in line with any interpretation of a fair approach to meeting the 1.5°C temperature limit. If all countries were to follow Mexico’s approach, warming would exceed 4°C. Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here .",
Viet Nam,CAT rating of targets,"The CAT rates NDC targets against what a fair contribution to achieving the Paris Agreement’s long-term temperature goal would be as well as against indicative national emissions from global least-cost pathways that achieve the Paris Agreement’s temperature goal (called modelled domestic pathways). Viet Nam has put forward two targets in its NDC: one that it will achieve using its own resources (15.8% GHG emissions reduction from BAU) and one that is conditional on international support (43.5% GHG emissions reduction from BAU). We rate the country’s unconditional target against its fair share contribution and its conditional target against the level of reductions needed within its borders aligned with a global least cost pathway (modelled domestic pathway). We estimate that Viet Nam’s conditional target would result in an emissions level of 620 MtCO 2 e (excluding LULUCF) in 2030, which we rate as “Critically Insufficient”. This rating is based on Viet Nam’s modelled domestic pathway for a 1.5°C limit. The “Critically insufficient” rating indicates that Viet Nam’s conditional target reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C. If all countries were to follow Viet Nam’s approach, warming would exceed 4°C. With the NDC update, Viet Nam’s emission reductions under its conditional target have strengthened by 17% but are close to two times higher than the 1.5°C modelled domestic pathway (353 MtCO 2 e) for 2030. Substantial improvement is needed in this target. It is important that Viet Nam sets a stronger target to plan faster emissions reductions, and not lock itself into a high carbon future. We estimate that Viet Nam’s unconditional target would result in an emissions level of 863 MtCO 2 e (excluding LULUCF) in 2030, which we rate as “Critically Insufficient”. This rating is based on Viet Nam’s fair share contribution at a 1.5°C limit. The “Critically insufficient” rating indicates that Viet Nam’s unconditional target reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C. Viet Nam’s target is not in line with any interpretation of fairness. If all countries were to follow Viet Nam’s approach, warming would exceed 4°C. With the NDC update Viet Nam’s emission reductions under its unconditional target have improved by only 4% and are around 2.5 times more than a 1.5˚C compatible faire share target (350 MtCO 2 e).",
Viet Nam,Net zero and other long-term target(s),"Viet Nam announced a target to achieve net zero by 2050 target during the COP26 World Leaders' Summit in 2021. In July 2022, Viet Nam reiterated its commitment to reach net zero in the decision approving its National Climate Change Strategy, aimed at guiding its planning to achieve net zero by 2050. Viet Nam’s net zero target is conditional on international financial support. The CAT rates Viet Nam’s target as “Average”. The full net zero target analysis can be found here .",
United Kingdom,CAT rating of targets,"NOTE: This update does not conduct a new rating of the UK’s climate targets, as the new government only entered power in July 2024. Instead, it describes the context inherited by the new government and highlights key areas for improvement. We will respond to any major announcements and provide an updated rating for the UK in 2025. The CAT rates NDC targets against each country’s fair share contribution to global climate change mitigation, considering a range of equity principles including responsibility, capability, and equality. The CAT also rates NDC targets against indicative national emissions from global least-cost emissions pathways (called modelled domestic pathways). For assessing targets against the fair share, we consider both a country’s domestic emission reductions and any emissions it supports abroad through the use of market mechanisms or other ways of support, as relevant. The UK does not intend to use market mechanisms and will achieve its NDC target through domestic action alone. We rate its NDC target against both modelled domestic pathways and fairness metrics. When compared against least cost modelled pathways which limit warming to 1.5°C, the UK’s target is rated as ""Almost Sufficient"". The “Almost Sufficient” rating indicates that the UK’s domestic target in 2030 is not yet consistent with modelled domestic pathways limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow the UK’s approach, warming could be held below—but not well below—2°C. This is a downgrade of the UK’s NDC compared to the CAT's 2022 UK assessment, where we rated the UK’s target as 1.5ºC compatible. This is because the CAT is now producing modelled domestic pathways via the latest global scenarios assessed by the IPCC’s AR6 report, rather than the older scenarios from the IPCC’s Special Report on 1.5ºC. The lack of progress in global emissions reductions in recent years is increasing the pressure on the emissions cuts needed by 2030. As a result, under the latest pathways, the UK’s emissions need to fall faster to align with 1.5ºC, and the UK’s NDC (which was previously only just aligned with 1.5ºC) has now been downgraded to ""Almost Sufficient"". This highlights the importance of aligning with 1.5ºC in the most robust manner possible. The CAT’s assessment of the UK’s total fair share contribution takes into account its emissions reduction target and its climate finance. When compared against what would be a fair share of effort towards achieving the Paris Agreement goals, the UK’s NDC is rated as “Insufficient”. The “Insufficient” rating indicates that the UK’s NDC target in 2030 needs substantial improvements to be consistent with its fair share of global mitigation effort to limit warming to 1.5°C. The UK’s target is at the least stringent end of what would be a fair share of global effort and is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow the UK’s approach, warming would reach over 2°C and up to 3°C. The UK’s current NDC sets a target of 253 MtCO 2 e/yr in 2030 (when expressed in AR4 GWPs excl. LULUCF). To improve its fair share rating, the UK would need to cut emissions by an additional 280–400 MtCO 2 e, to reach negative GHG emissions by 2030. Some of these additional reductions can be achieved domestically, by cutting UK emissions to more than 68% below 1990 levels (WWF, 2020). Where possible, the UK should seek to increase the ambition of its 2030 target to 70% and beyond. Where further emissions reductions are not possible, the UK would need to support climate action in other countries, particularly through capacity building, technology transfer and climate finance. Without this, the UK cannot be seen to be aligned with the Paris Agreement’s commitment to reflect ‘equity and the principle of common but differentiated responsibilities’ in climate action. The UK’s reported contributions to financing emission reductions abroad fall far short of its fair share (Gabbatiss, 2023) contribution to the USD 100 bn goal which itself needs to be increased substantially to help drive the global energy transition (Pachauri et al., 2022). On this (most important) metric, the UK is therefore rated as “Highly Insufficient”. In 2019, the UK committed to doubling its climate finance provision from GBP 5.8 bn (USD 7.6 bn) across 2016–2020 to GBP 11.6 bn (USD 15.1 bn) across 2021–2026 (UK Government, 2019), which earns it an “Almost sufficient” rating for future commitments. However, in July 2021 it was revealed that this would not be new funding, and instead would be taken from the existing aid budget (Merrick, 2021). This is in contradiction with a UN-brokered agreement that such funding would be ‘new and additional’ (UNFCCC, 2011). The UK has also consistently underspent climate finance over 2021–2023 (Rowlatt, 2023), and UK total climate finance provision fell from 2020/21 to 2022/23 (Gabbatiss, 2023). The previous government attempted to meet its target partly by further reclassifying existing aid spending as climate finance (FCDO, 2023). Such an approach is deeply regrettable. The new UK government should aim to reclaim leadership in the area of climate finance by: Committing to reaching the GBP 11.6 bn goal across 2021–2026 Resetting the rules on what constitutes climate finance to put the UK at the front of the pack in terms of tracking climate finance (rather than in the middle with other donors) Committing to an ambitious climate finance goal for post-2026 Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
United Kingdom,Net zero and other long-term target(s),"We evaluate the net zero target as: “ Acceptable ”. The UK has enshrined the net zero target by 2050 in law by revising and amending the Climate Change Act 2008 in 2019. The Net Zero Strategy released in October 2021 has been submitted to the UNFCCC as the UK’s updated long-term strategy. The net zero target covers most key elements considered important by the CAT to enhance transparency, target architecture, and scope. The UK meets good practice for most of these benchmarks, but some elements remain undefined or lacking. For example, a clear commitment not to use reductions or removals outside of the UK, and providing separate targets for emissions reductions and removals would improve the target architecture of the UK’s net zero target. The UK was the first major economy to establish and pass a legally binding target of net zero emissions by 2050 in 2019 (UK Government, 2019d). The UK’s target covers all sectors and gases and includes emissions from international aviation and shipping. Excluding LULUCF and international aviation and shipping, this corresponds to 2050 emissions of 0 MtCO 2 e/yr as existing residual emissions from agriculture and other sectors such as international aviation are being balanced by CO 2 removal from BECCS, DACCS and other approaches. For this reason, this does not represent a target to reach absolute zero emissions. For the full analysis click here .",
USA,CAT rating of targets,"The CAT rates NDC targets against what a country should be doing within its own borders as well as what would qualify as a country’s fair contribution to achieving the Paris Agreement’s long-term temperature goal. For assessing targets against the fair share, we consider both a country’s domestic emissions reductions and any emissions reductions it supports abroad through the use of market mechanisms or other ways of support, as relevant. The US does not intend to use market mechanisms and will achieve its NDC target through domestic action alone. We rate its NDC target against both domestic and fairness metrics. We rate the target of reducing emissions by 50%–52% (or 45%–50% excluding emissions from land-use, land-use change and forestry or LULUFC) below 2005 levels by 2030 as “Almost sufficient” when compared to modelled domestic emissions pathways. The “Almost sufficient” rating indicates that the US target in 2030 is not yet consistent with the 1.5°C temperature limit but could be, with moderate improvements. If all countries were to follow the US approach, warming could be held at—but not well below—2°C. Although the target represents a significant improvement compared to its first NDC, the current target is not stringent enough to limit warming to 1.5°C and needs further improvements. We rate the target of reducing emissions by 50%–52% (or 45%–50% excl. LULUCF) below 2005 levels by 2030 as “Insufficient” when compared with its fair-share emissions allocation. The “Insufficient” rating indicates that US’ NDC target for 2030 needs substantial improvement to be consistent with limiting warming to 1.5°C. The US target is at the least stringent end of what would be a fair share of global effort. The target is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow US’ approach, warming would reach over 2°C and up to 3°C. The US’ international climate finance contributions is rated “Critically insufficient” (see below) and is not enough to improve the US’ fair share rating. We rate the US’ international public climate finance contributions as “Critically insufficient.” The US has committed to increase its climate finance, but contributions to date have been much lower than its fair share. To improve its rating, the US needs to ramp up the level of its international climate finance contributions and accelerate the phase-out of all fossil fuel financing abroad (and not only coal). Contribution levels and trends The US Congress approved a budget allocation for international climate finance of no less than USD 0.9bn (Congressional Research Service, 2024) for FY2024, although the Biden Administration requested an allocation of USD 5bn. As a result of a more stringent federal spending cap, the FY2024 finance provision is less than the provision in the first years of the Biden Administration (Thwaites, 2024). For FY2025, the administration accordingly reduced its requested funding to USD 3.5bn. The US State Department, however, claims it is on track to reach its pledge to contribute USD 11.4bn per year by 2024, with a projected contribution of USD 9.5bn in FY2023 (U.S. Department of State, 2024). The difference between the climate finance commitment approved by Congress and the total claimed by the State Department is due to the fact that Congress’ funding only represents a small share of US’ total international climate finance, as other agencies contribute the bulk of financing (Thwaites, 2024; U.S. Department of State, 2024). However, the sources of the US’ climate finance are not transparently reported. While Congress’ budget allocation does not include any funding for the Green Climate Fund (GCF), the US government has pledged to contribute USD 3bn to the GCF. The GCF is the primary international vehicle for supporting developing countries in their efforts to respond to and build resilience to the climate crisis (DeLauro, 2022). The commitment of USD 11.4bn per year by 2024 falls short of the US’ fair contribution. While the OECD reported in 2022 that international climate finance provided by developed countries exceeded the USD 100bn goal per year for the first time, a “new collective quantified goal on climate finance” for post-2025 is already being discussed by UNFCCC parties (UNFCCC, 2024). To demonstrate global leadership on climate finance and to contribute towards its fair share, the US needs to substantially scale up its international climate finance provisions. The CAT finance rating would improve if the US were to successfully augment its level of finance through a sustained upwards trend in annual contributions. The US has historically provided a significant portion of its climate-related financial contributions as grants, which are more concessional than loans. Climate finance contributions declined during the Trump Administration, but this trend has since been reversed by the Biden Administration, which in 2021 increased its bilateral climate-related Official Development Assistance (ODA) (OECD, 2022). Bilateral climate finance by the US, as reported as principal and significant financing, further increased in 2022 as a result of an increase in adaptation financing. Principal mitigation financing actually decreased by half, from almost USD 1bn to less than USD 500m, reflecting a shift by the Biden Administration towards adaptation financing (OECD, 2024). Overall, the US' allocation of funding to bilateral climate-related ODA increased from 3% in 2021 to 10% in 2022 of total ODA spending, but remains well below the OECD's Development Assistance Committee (DAC) member countries' average of 24% (Donor Tracker, 2021, 2023). This continues to highlight a substantial shortage in the US' financial commitment to addressing climate change through ODA. Increasing these contributions would not only allow the US to play a larger role in global climate action, but would also align with its renewed commitment to international cooperation under the Biden Administration. Fossil fuel financing abroad The US, along with several other countries, agreed to “end new direct public support for the international unabated fossil fuel energy sector” by the end of 2022 (The White House, 2021a). The 2023 G7 Communique claims to have achieved this goal (The White House, 2023d). However, the US has neither developed plans nor introduced policies to implement this commitment. The US also has not supported a proposal put forward by the European Union to end fossil fuel finance from export banks (E&E News by POLITICO, 2024). In 2023, the Export-Import Bank of the US (EXIM), an independent US government agency that provides concessions for projects that seek to boost US exports, continued to lend money to foreign fossil fuel projects, including USD 100m to Indonesia’s national oil company to expand an oil refinery and boost production. Estimates suggest that EXIM’s total lending amounted to USD 1bn in 2023 (Aronoff, 2023). While the US government claims to be actively working with EXIM to end its financing of fossil fuel projects, the export agency itself does not seem to take a proactive role in doing so, claiming it has no jurisdiction to end these projects (Friends of the Earth US, 2024). In January 2024, EXIM’s lack of action resulted in two members of the agency’s climate advisory board resigning over a decision to support a fossil fuel project in Bahrain (Friedman & Tabuchi, 2024). EXIM plans to finance further fossil fuel projects, including in Guyana, Malaysia, Mexico, Mozambique, and Papua New Guinea (Friends of the Earth US, 2024). Although the US has not approved any new domestic coal projects in more than a decade (Friedman & Tabuchi, 2024), the US continues to support existing coal projects abroad, such as the Jawa 9-10 Suralaya Coal Plant in Indonesia and the Long Phu 1 Coal Plant in Vietnam (EndCoal, 2020). The US should stop supporting all fossil fuel developments abroad to improve its climate finance rating.",
USA,Net zero target,"The Biden Administration submitted an updated long-term strategy (LTS) to the UNFCCC in November 2021, in which the US officially commits to net zero emissions by 2050 at the latest. The net zero target covers all greenhouse gas (GHG) emissions, makes transparent assumptions on CO 2 removal by nature-based and technology-based solutions, and specifies several key components for comprehensive planning (U.S. Department of State, 2021). The US government has several avenues to improve the scope, target architecture, and transparency of its net zero target. The government could include international aviation and shipping in its target coverage. It could also explicitly commit to reach net zero emissions within its own borders without the use of international offsets. The target itself could be enshrined in law in combination with adopting a legally binding review, revision, and reporting mechanism. The US government should further explain how its net zero target is a fair contribution to the global goal of limiting warming to 1.5˚C above pre-industrial levels, and transparently address any existing gap between its net zero target and what would be a fair target. For the full analysis of the net zero target, click here .",
USA,2020 pledge,"The effects of COVID-19 induced a temporary drop in emissions that helped the US meet its 2020 targets under the Copenhagen Accord. Total emissions in 2020 decreased by 22% below 2005 as a result of the pandemic-induced economic slowdown. The US 2020 target was to reduce emissions by 17% below 2005 levels by 2020 (U.S. Department of State, 2010). Despite reaching the 2020 target, GHG emissions bounced back to pre-pandemic levels in 2021.",
