header,rating,content_text
Costa Rica,NDC target against fair share,1.5°C compatible,We rate Costa Rica’s 2030 NDC target as “1.5°C compatible” when compared with its fair-share contribution to climate action. The “1.5°C compatible” rating indicates that Costa Rica’s NDC target is consistent with limiting warming to 1.5°C when compared to its fair share.
Costa Rica,Land use & forestry,Sink,"Costa Rica has drastically reduced its LULUCF emissions over the past 20 years, reaching net negative emissions in 2014. In 2017, Costa Rica’s LULUCF emissions sink was equivalent to more than 20% of its economy-wide emissions. Costa Rica is counting on the LULUCF sector to achieve its carbon neutrality goal. To meet the emissions trajectory outlined in its LTS, the LULUCF sink would have to more than double compared to current levels. Thus, Costa Rica should work towards increasing its LULUCF sink in the long-term. For more information about forestry activities in Costa Rica, please see the Forestry section under Policies & Action ."
Costa Rica,Net zero target,Acceptable,"We evaluate the net zero target as “Acceptable”. Costa Rica’s target covers all sectors and gases and is underpinned by emissions pathway analysis and the communication of strategic goals and emissions targets per sector. The Costa Rican government provides comprehensive pathways and key measures and sets interim goals attributable to discernible periods. The government plans to reach net zero through domestic actions and without the use of international credits. That said, the government currently fails to provide explicit and transparent assumptions on key elements. The government also provides no information on its intention to establish a formal periodic reviewing cycle of measures and interim targets."
Colombia,Overview,no rating,"In August 2022, the newly elected president Gustavo Petro took office, pledging to put climate change at the top of his political agenda: to protect forests, reduce emissions from deforestation, make a sustainable energy transition away from oil investment, and stop fracking. In his inaugural speech , he mentioned the importance of Colombia moving to a low-carbon economy and strongly committed to a low-carbon transition conditional on international cooperation. Since taking office, he has already moved to ban fracking, with draft legislation already out for review. Colombia needs to take stronger action to cut emissions across the board. In 2020, Colombia updated its NDC with a stronger target, but it did not go far enough. It is not on track to meet its updated NDC with current policies resulting around 24% over target. Even with planned measures, Colombia will need further action both to reach its current target and to be 1.5°C compatible. In December 2021, Colombia enacted the Climate Action Law, enshrining both its NDC and net zero targets into law. To enhance climate action, Colombia should sign up to the coal exit. It depends on coal for roughly 10% of its power supply, economically accounting for about 13% of total exports in 2020.The Colombian coal mining sector is facing uncertainty as pressure mounts for firms to decarbonise foreign investments. The latest long-term expansion plan from the National Energy Planning Unit rules out completely new coal-fired power plants due to low competitiveness against major growth of cheaper renewable sources. The development of renewables and the global drive towards decarbonisation may risk leaving Colombia with stranded assets and lost economic opportunities if it does not initiate the transition away from fossil fuels. It is too soon to gauge whether the new President will be able to achieve this. Colombia can also strengthen its 2030 electric vehicle (EV) target and accelerate the establishing of charging infrastructure. We estimate that its current 2030 EV target is equivalent to about a 50% EV sales target. While Colombia has a number of EV policies, recent legislative developments supporting natural gas take the sector in the wrong direction. In August 2021, Colombia passed law 2128, which declared the use of natural gas to be in the national interest. The CAT’s rating of Colombia’s overall and target ratings have improved compared to our last assessment because Colombia provided further information in its latest biennial report on the policies and measures it will implement to achieve its target. While the overall NDC target remains the same, Colombia will focus more on reducing emissions outside of the land sector (LULUCF) than we had previously assumed, therefore leading to a more stringent target (when excluding LULUCF) under our methods. Colombia’s overall rating has changed from “Highly insufficient” to “Insufficient”."
Colombia,Overall rating,Insufficient,"The CAT gives Colombia’s climate targets and policies an overall rating of “Insufficient”. The “Insufficient” rating indicates that Colombia’s climate policies and commitments need substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. Colombia’s NDC target is consistent with 3°C of warming when compared to modelled emissions pathways and 2°C of warming when compared to its fair share contribution. Colombia needs to strengthen its unconditional NDC target and make it even more ambitious with international support. Colombia will not meet its NDC target neither with the current policies and action, nor with its planned policies. Colombia will need to implement additional policies using its own resources but will also need international support to implement further policies in line with full decarbonisation. Colombia’s overall and target ratings have improved compared to our last assessment, due changes in the methods we use to exclude LULUCF from the NDC, rather than any change in the target itself."
Colombia,Policies and action  against fair share,Insufficient,"Colombia’s current policies and action are not 1.5°C compatible when compared to its expected fair share contribution. Under current policy projections, Colombia’s 2030 emissions are likely to fall between 199-203 MtCO 2 e excl. LULUCF, which is far above its fair share contribution of 139 MtCO 2 e in 2030 for a 1.5°C consistent pathway. Planned policies are estimated to cut emissions to between 176-180 MtCO 2 e in 2030, which is insufficient to meet Colombia’s NDC target (161 MtCO 2 e excluding LULUCF). Further policy action is needed. We rate Colombia’s policies and action as “Insufficient”. The “Insufficient” rating indicates that Colombia’s climate policies and action in 2030 need substantial improvements to be consistent with limiting warming to 1.5°C. If all countries were to follow Colombia’s approach, warming would reach over 2°C and up to 3°C. Colombia will need to implement additional policies using its own resources but will also need international support to implement further policies in line with full decarbonisation. For more on Colombia's policies and action, click here ."
Colombia,NDC target against modelled domestic pathways,Insufficient,"Colombia has not put forward a conditional target, and so we rate its NDC target against modelled domestic pathways and find it to be “Insufficient”. The CAT methodology shows that provision of international support is consistent with the wide range of literature on fair share contributions to meeting the Paris Agreement's goals. The “Insufficient” rating indicates that Colombia’s NDC target in 2030 needs substantial improvements to be consistent with limiting warming to 1.5°C. If all countries were to follow Colombia’s approach, warming would reach over 2°C and up to 3°C. Colombia’s rating has improved by one category, from “Highly insufficient” to “Insufficient”. The change is due to the manner in which we exclude LULUCF from the NDC, rather than any change in the target itself. In our last assessment, we indicated that there was significant uncertainty on the extent to which Colombia intends to rely on the land sector and so we developed a target range based on different approaches. Due to the further information provided in the country’s latest biennial report, we have dropped the upper end of our range (see Assumptions tab for further details)."
Colombia,NDC target against fair share,Almost Sufficient,"Colombia’s NDC target is also inconsistent with limiting warming to 1.5°C when compared to its fair share contribution. We estimate the target to be 161 MtCO 2 e by 2030 (excl. LULUCF). To achieve its fair share contribution to limiting warming to 1.5°C, Colombia would need to reach absolute emissions of at or below 139 MtCO 2 e in 2030 (excl. LULUCF). The CAT rates Colombia’s NDC target as “Almost sufficient”. The “Almost sufficient” rating indicates that Colombia ’s fair share target in 2030 is not yet consistent with the 1.5°C temperature limit but could be, with moderate improvements. Colombia’s target would require other countries to make deeper reductions and comparably greater effort to limit warming to 1.5°C. If all countries were to follow Colombia’s approach, warming could be held below—but not well below—2°C. Colombia’s rating has improved by one category, from “Insufficient” to “Almost sufficient”. The change is due to the manner in which we exclude LULUCF from the NDC, rather than any change in the target itself (see the Assumptions tab for further details)."
Colombia,Land use & forestry,Source,"The land use, land-use change and forestry sector has consistently been significant source of emissions in Colombia. Emissions from land use in 2018 were 36% of the country’s total emissions, and reducing emissions from deforestation is a vital part of Colombia’s climate mitigation target (IDEAM, 2021). Land-based mitigation measures account for approximately 70% of the total mitigation potential outlined in its updated NDC (2020), which, if fully implemented, would turn Colombia’s land sector from a current net source of emissions to a net sink."
Colombia,Net zero target,Acceptable,"In November 2021, Colombia submitted a 2050 net zero GHG emissions target as National Long Term Strategy ( E2050 ) to the UNFCCC. The Strategy includes different scenarios and pathways and outlines 9 strategic initiatives with 48 transformation options for decision-makers to consider (Government of Colombia, 2021). In December 2021, through Law No. 2169, Colombia promotes the country's low-carbon development through the establishment of minimum targets and measures for carbon neutrality and climate resilience (Ley de Accion Climatica N°2169, 2021) We evaluate Colombia’s net-zero target as “acceptable”. The full net zero target analysis can be found here ."
China,Overview,no rating,"China’s emissions in 2023 reached an all-time high due to a rapid rebound in economic activities and fossil fuel consumption after the end of zero-COVID policies. However, thanks to the rapid rollout of renewables and a significant reduction in new coal power projects, the most recent projections suggest that China's emissions will peak before 2025, potentially more than five years ahead of its 2030 target, albeit at a higher level. While there are early signs in 2024 that emissions may be starting to decline from the 2023 peak, it remains uncertain how the rest of the year will unfold. China has surpassed its NDC target for wind and solar capacity six years ahead of schedule, reaching 1,206 GW in July 2024, with forecasts predicting 1,310 GW by year-end. The country's non-fossil power generation capacity now exceeds that of fossil fuels. However, coal remains China’s primary energy source and the largest emissions source. Although coal power permits dropped by 83% in the first half of 2024, new coal plant construction remains high due to the surge in approvals of over 100 GW during 2022-2023. Despite this expansion, coal plant utilisation rates are declining, with coal's share of electricity generation falling to 53% in May 2024 from 60% in May 2023, as renewable energy and hydropower recover. The CAT’s overall rating for China’s policies and targets remains “Highly insufficient”. We estimate China’s 2023 emissions rose 3% to 14.9 GtCO₂e (excl. LULUCF) compared to 2022, driven by increased coal and oil consumption after the economic rebound from its zero-COVID policy, and further compounded by weak hydropower production due to scarce rainfall. We expect absolute 2030 emission levels to be up by 0.5-1.6%, compared with our previous assessment, reaching 13.8 to 14.6 GtCO 2 e (excl. LULUCF). Our conservative scenario expects China’s emissions to peak before 2025, followed by a slight annual decline of 0.5% for the rest of the decade. An optimistic scenario, with accelerated renewable deployment and coal phase-down, suggests CO 2 emissions could peak as early as 2023, with a steeper annual decline of 1%, resulting in an additional 5% emission reduction, or 750 MtCO 2 , by 2030. In both our optimistic and conservative projections, China’s climate and energy policies are currently not expected to be strong enough to drive down emissions in a substantial manner this decade. For a chance to limit global warming to 1.5 °C, it is critically important for China as the world’s largest emitter to rapidly decarbonise in the short-term by implementing more ambitious decarbonisation policies in its next five-year plan (2026-2030). As in previous years, our analysis shows emission levels under domestic policies to be lower than China’s energy-related NDC targets . We project China to comfortably overachieve its non-fossil energy share and renewable capacity targets without substantially increasing its mitigation efforts, despite an increased emissions trajectory. China’s wind and solar power capacity has been growing at a record pace, averaging 27% annually over the past five years, surpassing its 1,200 GW target six years ahead of schedule. If China manages to keep up this extraordinary momentum, renewables could meet all its generation capacity demand by 2030, though it would be an enormous challenge. Given China's continued reliance on fossil fuels, even with an average economic growth of 5% per year in 2024-25, the country may still miss its carbon intensity target—a reduction of 18% by 2025 from 2020 levels—because emissions have not been dropping as expected. This risk is compounded by significant economic losses from extreme weather events exacerbated by climate change, exemplified by the severe flooding in Guangdong, Henan, and Hunan provinces during the summer of 2024. To strengthen its climate policy and to keep emissions in line with its 2060 carbon neutrality target, China could: Control and reduce fossil fuel dependence, as energy consumption is projected to rise almost 9% from now to 2030. While record rates of renewable deployment are on the verge of meeting growing energy demand, this is not yet able to meaningfully cut fossil fuel consumption and bring down emissions in the medium-term. High-level political signals, including President Xi Jinping’s speech at the 20th CPC National Congress and the 2024 Government Work Report from the “Two Sessions” (annual plenary sessions of two of China’s major political bodies), emphasise energy security with coal as a key solution. China reduced coal power permits by 83% year-on-year in the first half of 2024, approving only 9 GW , signalling positive progress. But over the same period, construction began on over 41 GW of coal projects, still representing over 90% of global new coal construction. Improve the formulation and coverage of its climate targets by setting an absolute economy-wide peaking target for greenhouse gas emissions as well as specific emission reduction targets for 2035. China’s existing peaking, carbon intensity, and non-fossil energy share targets are relative to economic growth or energy system developments, allowing the country to meet its NDC commitments while increasing emissions levels. The NDC and LTS targets do not directly cover non-CO 2 greenhouse gases, which amount to 2.5 GtCO₂e/yr or almost 18% of China’s total emissions, although China has now pledged to include all GHGs in its 2035 NDC. Raise the ambition of its energy-related climate (NDC) targets: China reached its 1,200 GW wind and solar capacity target six years ahead of schedule, totalling 1,206 GW by the end of July 2024. China is also on track to meet its 25% non-fossil energy share target by 2030, with our projections suggesting it could surpass 30% in both conservative and optimistic scenarios. Accelerate decarbonisation of high-emitting industry sectors by bringing carbon peaking timelines forward, as well as expanding the ETS sector coverage and improving its design. Industry associations and research from public institutions have suggested earlier carbon peaking timelines are feasible for critical sectors such as cement, steel and non-ferrous metals. Production control has been a key solution for China’s industrial emission reduction: after halting new permits for coal-based steel plants in the first half of 2024, the government has now indefinitely suspended all new steel plant permits. While China’s dependency on fossil fuels and high emission levels looks set to stay for the immediate future, the energy transition continues to build momentum, highlighted by high rates of renewable installations, deepening reforms in the power sector, and mitigation policies in end-use sectors: China’s energy transition investments in non-fossil energy, storage, electric vehicles and the circular economy remain a global leader, accounting for 38% of the global total in 2023. Renewable energy is rapidly expanding, driven by 14th FYP targets such as generating 3300 TWh of electricity from renewable sources and having renewables make up at least half of incremental power demand growth 2021- 2025. In the first seven months of 2024, China added 160 GW of renewable energy (incl. hydro), which accounted for 87% of new installations. This brought the total renewable capacity to 1,690 GW , making up 54.5% of the country's total power generation capacity. Wind and solar power reached 1,206 GW by the end of July and is forecasted by the China Electricity Council (CEC) to reach 1,310 GW by the end of 2024. China is rapidly becoming an electric vehicle (EV) powerhouse, now producing over half of all EVs sold worldwide. Domestically, China's new energy vehicles (mainly EVs) reached a market share of 31.6% in 2023, way ahead of its target of 20% by 2025. It has also released various industry and building sector plans, setting numerous efficiency targets for 2025, some of which rank among the most ambitious globally ."
China,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which in absence of a better method are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
China,Overall rating,Highly insufficient,"The CAT rates China’s climate targets and policies as “Highly insufficient”. The “Highly insufficient” rating indicates that China’s climate policies and commitments are not consistent with the Paris Agreement’s 1.5°C temperature limit and lead to a plateau of high, rather than falling, emissions levels. China is not meeting its fair share contribution to climate change mitigation. China’s unconditional NDC and policies and action are rated as “Insufficient” compared to its fair share. China’s unconditional NDC is rated as “Highly insufficient” compared with modelled domestic pathways. To improve its rating, China should set an ambitious and economy-wide absolute emission reduction target and adopt policies to reduce dependence on coal, thereby setting its national emissions on a downward trend."
China,Policies and action  against fair share,Insufficient,"China's suite of sectoral 14th Five Year Plans set out a range of mitigation measures to prepare the country for a post-coal transition but is unable to counter growing energy demand and reduce dependence on fossil fuels. Under current policies, emissions in 2030 have increased by 0.5-1.6% from the previous assessment, making it more difficult to reach long-term carbon neutrality. The country is expected to well overachieve its energy-related NDC targets, yet it risks failing in meeting its carbon intensity target for the first time. The CAT gives China’s climate policies a rating of “Insufficient”. This rating is an improvement over the previous assessment of ""Highly Insufficient."" The change is due to the CAT now rating policies and actions against fair share, rather than the previously used modelled domestic pathway. The full policies and action analysis can be found here ."
China,NDC target against modelled domestic pathways,Highly insufficient,"Under China’s NDC targets, the country’s emission levels would reach 14.0 GtCO 2 e/year in 2030. This projection, based on the median value of conservative and optimistic estimates from the two most binding energy-related NDC targets (peaking and carbon intensity targets), represents a 28% increase from 2010 levels. The country’s existing policies are set to overachieve the NDC targets for the share of non-fossil fuel consumption and the capacity of wind and solar power. This indicates potential for further raising these commitments. However, it is not yet sufficient to ensure that China meets its carbon intensity target. The CAT keeps its rating of China’s NDC target against modelled domestic pathways in 2030 as “Highly Insufficient”, indicating that its 2030 domestic targets need substantial improvements to be consistent with the 1.5°C temperature limit."
China,NDC target against fair share,Insufficient,"China’s emission levels under its NDC commitments are higher than what would be deemed 1.5°C compatible compared to our “fair share” approach, resulting in our improved rating of the NDC against China’s fair share of “Insufficient”. This upgrade in rating compared to the previous assessment is due to changes in the underlying data rather than any actual change in the target. This rating takes into account the fact that China has effectively submitted an unconditional NDC target but has not indicated a level of emissions that would be achieved with international support (a conditional NDC target)."
China,Net zero target,Poor,"China’s President Xi Jinping first announced China’s commitment to reach “carbon neutrality before 2060” in a declaration at the UN General Assembly in September 2020. China has since officially submitted a long-term strategy (LTS) to the UNFCCC in October 2021. As the LTS submission does not meet the majority of our criteria for a best-practice approach in LTS formulation, we keep China’s net-zero target evaluation as “Poor”."
